Lipid,Retention_Time,Match
[TG(50:3)]_FA18:1,13.7,True
[TG(51:6)]_FA16:1,11.1,True
[TG(52:5)]_FA16:1,12.4,True
[TG(52:6)]_FA18:1,11.2,False
[TG(52:7)]_FA18:1,15.7,False
[TG(54:5)]_FA18:1,13.7,True
[TG(54:6)]_FA18:1,12.5,True
"[TG(55:10),TG(54:3)]_FA18:1",16.0,True
"[TG(55:11),TG(54:4)]_FA16:1",14.8,True
"[TG(55:11),TG(54:4)]_FA18:1",14.8,True
"[TG(55:8),TG(54:1)]_FA18:1",16.9,True
"[TG(55:9),TG(54:2)]_FA18:1",15.6,True
"[TG(56:10),TG(55:3)]_FA18:1",16.6,True
"[TG(56:11),TG(55:4)]_FA18:1",15.4,True
[TG(56:6)]_FA18:1,13.7,True
"[TG(56:7),TG(55:0)]_FA16:1",12.3,False
"[TG(56:7),TG(55:0)]_FA18:1",13.5,False
"[TG(57:10),TG(56:3)]_FA18:1",17.0,True
"[TG(57:11),TG(56:4)]_FA18:1",15.9,True
"[TG(57:12),TG(56:5)]_FA18:1",14.7,True
"[TG(57:9),TG(56:2)]_FA18:1",18.3,True
"[TG(58:7),TG(57:0)]_FA18:1",13.5,False
"[TG(59:11),TG(58:4)]_FA18:1",17.0,True
"[TG(59:12),TG(58:5)]_FA18:1",16.0,True
"[TG(59:13),TG(58:6)]_FA18:1",15.0,True