,Lipid,Sample_ID,db_pos,Product_Ion,Retention_Time,OzESI_Intensity,Parent_Ion,Biology,Genotype,Mouse
0,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,547.5,13.32,559,736.7,cereb,WT,DOD94_F3
1,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,547.5,13.32,1334,736.7,dienc,WT,DOD94_F3
2,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_hippo_O3on_01,n-9,547.5,13.36,667,736.7,hippo,WT,DOD94_F3
3,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,547.5,13.23,2524,736.7,cortex,WT,FAD184_F3
4,[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,547.5,13.18,686,736.7,dienc,WT,FAD184_F3
5,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_cereb_O3on_01,n-9,547.5,13.36,665,736.7,cereb,WT,FAD184_F4
6,[TG(50:3)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,547.5,13.23,591,736.7,dienc,WT,FAD184_F4
7,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,547.5,13.27,881,764.7,cereb,WT,FAD185_M4
8,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,547.5,13.36,5801,736.7,cereb,WT,FAD185_M4
9,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,547.5,13.36,3674,736.7,cortex,WT,FAD185_M4
10,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,547.5,13.45,578,736.7,hippo,WT,FAD185_M4
11,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,547.5,13.36,1821,736.7,cereb,WT,FAD189_M3
12,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,547.5,13.32,6918,736.7,cortex,WT,FAD189_M3
13,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,547.5,13.36,1042,736.7,dienc,WT,FAD189_M3
14,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-7,599.5,12.02,673,788.7,cereb,WT,DOD94_F3
15,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,599.5,12.02,1126,788.7,cortex,WT,DOD94_F3
16,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-7,599.5,12.1,1567,788.7,dienc,WT,DOD94_F3
17,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,599.5,12.02,3221,788.7,cortex,WT,FAD184_F3
18,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-7,599.5,12.06,512,788.7,dienc,WT,FAD184_F3
19,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,599.5,12.02,26428,788.7,cereb,WT,FAD185_M4
20,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,599.5,12.07,2939,760.7,cereb,WT,FAD185_M4
21,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,599.5,12.02,16896,788.7,cortex,WT,FAD185_M4
22,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,599.5,12.07,3054,760.7,cortex,WT,FAD185_M4
23,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,599.5,12.02,1840,788.7,dienc,WT,FAD185_M4
24,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-7,599.5,12.06,539,788.7,hippo,WT,FAD185_M4
25,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,599.5,12.02,6437,788.7,cereb,WT,FAD189_M3
26,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,599.5,12.07,1045,760.7,cereb,WT,FAD189_M3
27,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,599.5,11.97,17455,788.7,cortex,WT,FAD189_M3
28,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,599.5,12.07,1638,760.7,cortex,WT,FAD189_M3
29,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-7,599.5,12.02,1849,788.7,dienc,WT,FAD189_M3
30,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,599.5,13.3,778,788.7,cereb,WT,DOD94_F3
31,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-9,599.5,13.26,1414,788.7,cortex,WT,DOD94_F3
32,[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,599.5,13.35,4714,788.7,dienc,WT,DOD94_F3
33,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cereb_O3on_01,n-9,599.5,13.26,987,788.7,cereb,WT,FAD184_F3
34,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,599.5,13.21,1406,816.7,cortex,WT,FAD184_F3
35,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,599.5,13.26,7540,788.7,cortex,WT,FAD184_F3
36,[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,599.5,13.26,727,788.7,dienc,WT,FAD184_F3
37,[TG(54:5)]_FA18:1,11282023_FAD184_F4_WT_cortex_O3on_01,n-9,599.5,13.3,813,788.7,cortex,WT,FAD184_F4
38,[TG(54:5)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,599.5,13.26,617,788.7,dienc,WT,FAD184_F4
39,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,599.5,13.16,9256,816.7,cereb,WT,FAD185_M4
40,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,599.5,13.26,26171,788.7,cereb,WT,FAD185_M4
41,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,599.5,13.16,2219,816.7,cortex,WT,FAD185_M4
42,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,599.5,13.26,19727,788.7,cortex,WT,FAD185_M4
43,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,599.5,13.21,583,816.7,dienc,WT,FAD185_M4
44,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-9,599.5,13.26,3594,788.7,dienc,WT,FAD185_M4
45,[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,599.5,13.26,1702,788.7,hippo,WT,FAD185_M4
46,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,599.5,13.21,654,816.7,cereb,WT,FAD189_M3
47,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,599.5,13.26,7969,788.7,cereb,WT,FAD189_M3
48,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,599.5,13.21,1839,816.7,cortex,WT,FAD189_M3
49,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,599.5,13.26,14770,788.7,cortex,WT,FAD189_M3
50,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-7,599.5,13.21,596,816.7,dienc,WT,FAD189_M3
51,[TG(54:5)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,599.5,13.21,5626,788.7,dienc,WT,FAD189_M3
52,[TG(54:6)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,597.5,12.24,544,786.7,dienc,WT,DOD94_F3
53,[TG(54:6)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,597.5,12.15,3069,786.7,cereb,WT,FAD185_M4
54,[TG(54:6)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,597.5,12.1,1377,786.7,cortex,WT,FAD185_M4
55,[TG(54:6)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,597.5,12.1,1207,786.7,cortex,WT,FAD189_M3
56,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-7,603.5,15.6,577,820.7,cereb,WT,DOD94_F3
57,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,603.5,15.7,8248,792.7,cereb,WT,DOD94_F3
58,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,603.5,15.66,10377,792.7,cortex,WT,DOD94_F3
59,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-7,603.5,15.65,1241,820.7,dienc,WT,DOD94_F3
60,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,603.5,15.7,23010,792.7,dienc,WT,DOD94_F3
61,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-7,603.5,15.74,709,820.7,hippo,WT,DOD94_F3
62,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,603.5,15.79,8977,792.7,hippo,WT,DOD94_F3
63,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-7,603.5,15.56,1076,820.7,cereb,WT,FAD184_F3
64,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,603.5,15.66,11069,792.7,cereb,WT,FAD184_F3
65,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,603.5,15.56,2337,820.7,cortex,WT,FAD184_F3
66,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,603.5,15.61,33073,792.7,cortex,WT,FAD184_F3
67,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-7,603.5,15.56,648,820.7,dienc,WT,FAD184_F3
68,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,603.5,15.66,9687,792.7,dienc,WT,FAD184_F3
69,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-7,603.5,15.56,728,820.7,hippo,WT,FAD184_F3
70,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,603.5,15.66,9171,792.7,hippo,WT,FAD184_F3
71,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-7,603.5,15.56,673,820.7,cereb,WT,FAD184_F4
72,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,603.5,15.66,12847,792.7,cereb,WT,FAD184_F4
73,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,603.5,15.66,3957,792.7,cortex,WT,FAD184_F4
74,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,603.5,15.66,8381,792.7,dienc,WT,FAD184_F4
75,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_hippo_O3on_01,n-9,603.5,15.61,4193,792.7,hippo,WT,FAD184_F4
76,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,603.5,15.56,21692,820.7,cereb,WT,FAD185_M4
77,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,603.5,15.66,177357,792.7,cereb,WT,FAD185_M4
78,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,603.5,15.56,3272,820.7,cortex,WT,FAD185_M4
79,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,603.5,15.61,42833,792.7,cortex,WT,FAD185_M4
80,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-7,603.5,15.6,842,820.7,dienc,WT,FAD185_M4
81,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-9,603.5,15.66,12118,792.7,dienc,WT,FAD185_M4
82,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-9,603.5,15.66,9855,792.7,hippo,WT,FAD185_M4
83,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,603.5,15.65,1551,820.7,cereb,WT,FAD189_M3
84,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,603.5,15.66,30522,792.7,cereb,WT,FAD189_M3
85,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-7,603.5,15.6,3716,820.7,cortex,WT,FAD189_M3
86,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,603.5,15.66,72652,792.7,cortex,WT,FAD189_M3
87,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-7,603.5,15.56,1762,820.7,dienc,WT,FAD189_M3
88,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-9,603.5,15.61,24021,792.7,dienc,WT,FAD189_M3
89,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD189_M3_WT_hippo_O3on_01,n-9,603.5,15.66,3514,792.7,hippo,WT,FAD189_M3
90,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,601.5,14.46,3356,790.7,cereb,WT,DOD94_F3
91,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,601.5,14.46,5919,790.7,cortex,WT,DOD94_F3
92,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,601.5,14.55,9925,790.7,dienc,WT,DOD94_F3
93,"[TG(55:11),TG(54:4)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,601.5,14.59,2112,790.7,hippo,WT,DOD94_F3
94,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,601.5,14.46,4175,790.7,cereb,WT,FAD184_F3
95,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,601.5,14.4,2441,818.7,cortex,WT,FAD184_F3
96,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,601.5,14.46,34940,790.7,cortex,WT,FAD184_F3
97,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,601.5,14.46,3275,790.7,dienc,WT,FAD184_F3
98,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,601.5,14.41,1672,790.7,hippo,WT,FAD184_F3
99,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,601.5,14.5,3439,790.7,cereb,WT,FAD184_F4
100,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,601.5,14.5,1457,790.7,cortex,WT,FAD184_F4
101,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,601.5,14.46,1715,790.7,dienc,WT,FAD184_F4
102,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,601.5,14.4,22476,818.7,cereb,WT,FAD185_M4
103,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,601.5,14.46,102138,790.7,cereb,WT,FAD185_M4
104,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,601.5,14.4,7481,818.7,cortex,WT,FAD185_M4
105,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,601.5,14.46,67236,790.7,cortex,WT,FAD185_M4
106,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-7,601.5,14.4,1655,818.7,dienc,WT,FAD185_M4
107,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-9,601.5,14.46,14844,790.7,dienc,WT,FAD185_M4
108,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-9,601.5,14.5,6223,790.7,hippo,WT,FAD185_M4
109,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,601.5,14.4,2300,818.7,cereb,WT,FAD189_M3
110,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,601.5,14.46,17600,790.7,cereb,WT,FAD189_M3
111,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-7,601.5,14.36,5009,818.7,cortex,WT,FAD189_M3
112,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,601.5,14.46,35027,790.7,cortex,WT,FAD189_M3
113,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-7,601.5,14.4,1071,818.7,dienc,WT,FAD189_M3
114,"[TG(55:11),TG(54:4)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-9,601.5,14.46,14776,790.7,dienc,WT,FAD189_M3
115,"[TG(55:8),TG(54:1)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,607.5,16.94,550,796.7,dienc,WT,DOD94_F3
116,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,607.5,16.9,599,796.7,cereb,WT,FAD184_F3
117,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,607.5,16.9,939,796.7,cortex,WT,FAD184_F3
118,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,607.5,16.85,4912,796.7,cereb,WT,FAD185_M4
119,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,607.5,16.99,682,796.7,cereb,WT,FAD189_M3
120,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,607.5,16.85,1769,796.7,cortex,WT,FAD189_M3
121,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-7,605.5,16.89,601,822.7,cereb,WT,DOD94_F3
122,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,605.5,16.9,4860,794.7,cereb,WT,DOD94_F3
123,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,605.5,16.9,3377,794.7,cortex,WT,DOD94_F3
124,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,605.5,16.94,6196,794.7,dienc,WT,DOD94_F3
125,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,605.5,17.03,3317,794.7,hippo,WT,DOD94_F3
126,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-7,605.5,16.85,922,822.7,cereb,WT,FAD184_F3
